value	cluster_id
-2,-2,-2,-2,0,1,-2	82
-2,-2,-2,-2,0,1,-1	82
-2,-2,-2,-2,0,1,0	82
-2,-2,-2,-2,0,1,1	82
-2,-2,-2,-2,0,1,2	18
-2,-2,-2,-2,0,2,-2	82
-2,-2,-2,-2,0,2,-1	82
-2,-2,-2,-2,0,2,0	82
-2,-2,-2,-2,0,2,1	82
-2,-2,-2,-2,0,2,2	47
-2,-2,-2,-2,1,-2,-2	127
-2,-2,-2,-2,1,-2,-1	54
-2,-2,-2,-2,1,-2,0	60
-2,-2,-2,-2,1,-2,1	49
-2,-2,-2,-2,1,-2,2	49
-2,-2,-2,-2,1,-1,-2	127
-2,-2,-2,-2,1,-1,-1	82
-2,-2,-2,-2,1,-1,0	49
-2,-2,-2,-2,1,-1,1	49
-2,-2,-2,-2,1,-1,2	49
-2,-2,-2,-2,1,0,-2	127
-2,-2,-2,-2,1,0,-1	82
-2,-2,-2,-2,1,0,0	82
-2,-2,-2,-2,1,0,1	49
-2,-2,-2,-2,1,0,2	49
-2,-2,-2,-2,1,1,-2	82
-2,-2,-2,-2,1,1,-1	82
-2,-2,-2,-2,1,1,0	82
-2,-2,-2,-2,1,1,1	82
-2,-2,-2,-2,1,1,2	18
-2,-2,-2,-2,1,2,-2	82
-2,-2,-2,-2,1,2,-1	82
-2,-2,-2,-2,1,2,0	82
-2,-2,-2,-2,1,2,1	47
-2,-2,-2,-2,1,2,2	47
-2,-2,-2,-2,2,-2,-2	20
-2,-2,-2,-2,2,-2,-1	20
-2,-2,-2,-2,2,-2,0	60
-2,-2,-2,-2,2,-2,1	49
-2,-2,-2,-2,2,-2,2	49
-2,-2,-2,-2,2,-1,-2	127
-2,-2,-2,-2,2,-1,-1	82
-2,-2,-2,-2,2,-1,0	49
-2,-2,-2,-2,2,-1,1	49
-2,-2,-2,-2,2,-1,2	49
-2,-2,-2,-2,2,0,-2	127
-2,-2,-2,-2,2,0,-1	82
-2,-2,-2,-2,2,0,0	82
-2,-2,-2,-2,2,0,1	49
-2,-2,-2,-2,2,0,2	49
-2,-2,-2,-2,2,1,-2	82
-2,-2,-2,-2,2,1,-1	82
-2,-2,-2,-2,2,1,0	82
-2,-2,-2,-2,2,1,1	82
-2,-2,-2,-2,2,1,2	18
-2,-2,-2,-2,2,2,-2	8
-2,-2,-2,-2,2,2,-1	82
-2,-2,-2,-2,2,2,0	47
-2,-2,-2,-2,2,2,1	47
-2,-2,-2,-2,2,2,2	47
-2,-2,-2,-1,-2,-2,-2	2
-2,-2,-2,-1,-2,-2,-1	2
-2,-2,-2,-1,-2,-2,0	2
-2,-2,-2,-1,-2,-2,1	2
-2,-2,-2,-1,-2,-2,2	2
-2,-2,-2,-1,-2,-1,-2	82
-2,-2,-2,-1,-2,-1,-1	2
-2,-2,-2,-1,-2,-1,0	2
-2,-2,-2,-1,-2,-1,1	2
-2,-2,-2,-1,-2,-1,2	2
-2,-2,-2,-1,-2,0,-2	82
-2,-2,-2,-1,-2,0,-1	82
-2,-2,-2,-1,-2,0,0	82
-2,-2,-2,-1,-2,0,1	2
-2,-2,-2,-1,-2,0,2	2
-2,-2,-2,-1,-2,1,-2	82
-2,-2,-2,-1,-2,1,-1	82
-2,-2,-2,-1,-2,1,0	82
-2,-2,-2,-1,-2,1,1	82
-2,-2,-2,-1,-2,1,2	2
-2,-2,-2,-1,-2,2,-2	82
-2,-2,-2,-1,-2,2,-1	82
-2,-2,-2,-1,-2,2,0	82
-2,-2,-2,-1,-2,2,1	82
-2,-2,-2,-1,-2,2,2	14
-2,-2,-2,-1,-1,-2,-2	57
-2,-2,-2,-1,-1,-2,-1	2
-2,-2,-2,-1,-1,-2,0	2
-2,-2,-2,-1,-1,-2,1	2
-2,-2,-2,-1,-1,-2,2	2
-2,-2,-2,-1,-1,-1,-2	82
-2,-2,-2,-1,-1,-1,-1	82
-2,-2,-2,-1,-1,-1,0	82
-2,-2,-2,-1,-1,-1,1	2
-2,-2,-2,-1,-1,-1,2	2
-2,-2,-2,-1,-1,0,-2	82
-2,-2,-2,-1,-1,0,-1	82
-2,-2,-2,-1,-1,0,0	82
-2,-2,-2,-1,-1,0,1	66
-2,-2,-2,-1,-1,0,2	66
-2,-2,-2,-1,-1,1,-2	82
-2,-2,-2,-1,-1,1,-1	82
-2,-2,-2,-1,-1,1,0	82
-2,-2,-2,-1,-1,1,1	82
-2,-2,-2,-1,-1,1,2	82
-2,-2,-2,-1,-1,2,-2	82
-2,-2,-2,-1,-1,2,-1	82
-2,-2,-2,-1,-1,2,0	82
-2,-2,-2,-1,-1,2,1	82
-2,-2,-2,-1,-1,2,2	14
-2,-2,-2,-1,0,-2,-2	82
-2,-2,-2,-1,0,-2,-1	82
-2,-2,-2,-1,0,-2,0	69
-2,-2,-2,-1,0,-2,1	2
-2,-2,-2,-1,0,-2,2	2
-2,-2,-2,-1,0,-1,-2	82
-2,-2,-2,-1,0,-1,-1	82
-2,-2,-2,-1,0,-1,0	82
-2,-2,-2,-1,0,-1,1	49
-2,-2,-2,-1,0,-1,2	49
-2,-2,-2,-1,0,0,-2	82
-2,-2,-2,-1,0,0,-1	82
-2,-2,-2,-1,0,0,0	82
-2,-2,-2,-1,0,0,1	82
-2,-2,-2,-1,0,0,2	82
-2,-2,-2,-1,0,1,-2	82
-2,-2,-2,-1,0,1,-1	82
-2,-2,-2,-1,0,1,0	82
-2,-2,-2,-1,0,1,1	82
-2,-2,-2,-1,0,1,2	82
-2,-2,-2,-1,0,2,-2	82
-2,-2,-2,-1,0,2,-1	82
-2,-2,-2,-1,0,2,0	82
-2,-2,-2,-1,0,2,1	82
-2,-2,-2,-1,0,2,2	82
-2,-2,-2,-1,1,-2,-2	127
-2,-2,-2,-1,1,-2,-1	60
-2,-2,-2,-1,1,-2,0	60
-2,-2,-2,-1,1,-2,1	49
-2,-2,-2,-1,1,-2,2	49
-2,-2,-2,-1,1,-1,-2	127
-2,-2,-2,-1,1,-1,-1	82
-2,-2,-2,-1,1,-1,0	49
-2,-2,-2,-1,1,-1,1	49
-2,-2,-2,-1,1,-1,2	49
-2,-2,-2,-1,1,0,-2	127
-2,-2,-2,-1,1,0,-1	82
-2,-2,-2,-1,1,0,0	82
-2,-2,-2,-1,1,0,1	49
-2,-2,-2,-1,1,0,2	49
-2,-2,-2,-1,1,1,-2	82
-2,-2,-2,-1,1,1,-1	82
-2,-2,-2,-1,1,1,0	82
-2,-2,-2,-1,1,1,1	82
-2,-2,-2,-1,1,1,2	82
-2,-2,-2,-1,1,2,-2	82
-2,-2,-2,-1,1,2,-1	82
-2,-2,-2,-1,1,2,0	82
-2,-2,-2,-1,1,2,1	82
-2,-2,-2,-1,1,2,2	112
-2,-2,-2,-1,2,-2,-2	20
-2,-2,-2,-1,2,-2,-1	20
-2,-2,-2,-1,2,-2,0	60
-2,-2,-2,-1,2,-2,1	49
-2,-2,-2,-1,2,-2,2	49
-2,-2,-2,-1,2,-1,-2	127
-2,-2,-2,-1,2,-1,-1	82
-2,-2,-2,-1,2,-1,0	49
-2,-2,-2,-1,2,-1,1	49
-2,-2,-2,-1,2,-1,2	49
-2,-2,-2,-1,2,0,-2	127
-2,-2,-2,-1,2,0,-1	82
-2,-2,-2,-1,2,0,0	82
-2,-2,-2,-1,2,0,1	49
-2,-2,-2,-1,2,0,2	49
-2,-2,-2,-1,2,1,-2	82
-2,-2,-2,-1,2,1,-1	82
-2,-2,-2,-1,2,1,0	82
-2,-2,-2,-1,2,1,1	82
-2,-2,-2,-1,2,1,2	82
-2,-2,-2,-1,2,2,-2	82
-2,-2,-2,-1,2,2,-1	82
-2,-2,-2,-1,2,2,0	82
-2,-2,-2,-1,2,2,1	82
-2,-2,-2,-1,2,2,2	3
-2,-2,-2,0,-2,-2,-2	2
-2,-2,-2,0,-2,-2,-1	2
-2,-2,-2,0,-2,-2,0	2
-2,-2,-2,0,-2,-2,1	2
-2,-2,-2,0,-2,-2,2	2
-2,-2,-2,0,-2,-1,-2	126
-2,-2,-2,0,-2,-1,-1	2
-2,-2,-2,0,-2,-1,0	2
-2,-2,-2,0,-2,-1,1	2
-2,-2,-2,0,-2,-1,2	2
-2,-2,-2,0,-2,0,-2	127
-2,-2,-2,0,-2,0,-1	82
-2,-2,-2,0,-2,0,0	82
-2,-2,-2,0,-2,0,1	2
-2,-2,-2,0,-2,0,2	2
-2,-2,-2,0,-2,1,-2	82
-2,-2,-2,0,-2,1,-1	82
-2,-2,-2,0,-2,1,0	82
-2,-2,-2,0,-2,1,1	82
-2,-2,-2,0,-2,1,2	39
-2,-2,-2,0,-2,2,-2	82
-2,-2,-2,0,-2,2,-1	82
-2,-2,-2,0,-2,2,0	82
-2,-2,-2,0,-2,2,1	82
-2,-2,-2,0,-2,2,2	14
-2,-2,-2,0,-1,-2,-2	57
-2,-2,-2,0,-1,-2,-1	123
-2,-2,-2,0,-1,-2,0	123
-2,-2,-2,0,-1,-2,1	2
-2,-2,-2,0,-1,-2,2	2
-2,-2,-2,0,-1,-1,-2	126
-2,-2,-2,0,-1,-1,-1	82
-2,-2,-2,0,-1,-1,0	123
-2,-2,-2,0,-1,-1,1	2
-2,-2,-2,0,-1,-1,2	2
-2,-2,-2,0,-1,0,-2	127
-2,-2,-2,0,-1,0,-1	82
-2,-2,-2,0,-1,0,0	82
-2,-2,-2,0,-1,0,1	66
-2,-2,-2,0,-1,0,2	66
-2,-2,-2,0,-1,1,-2	82
-2,-2,-2,0,-1,1,-1	82
-2,-2,-2,0,-1,1,0	82
-2,-2,-2,0,-1,1,1	82
-2,-2,-2,0,-1,1,2	82
-2,-2,-2,0,-1,2,-2	82
-2,-2,-2,0,-1,2,-1	82
-2,-2,-2,0,-1,2,0	82
-2,-2,-2,0,-1,2,1	82
-2,-2,-2,0,-1,2,2	14
-2,-2,-2,0,0,-2,-2	127
-2,-2,-2,0,0,-2,-1	69
-2,-2,-2,0,0,-2,0	69
-2,-2,-2,0,0,-2,1	69
-2,-2,-2,0,0,-2,2	69
-2,-2,-2,0,0,-1,-2	127
-2,-2,-2,0,0,-1,-1	82
-2,-2,-2,0,0,-1,0	69
-2,-2,-2,0,0,-1,1	49
-2,-2,-2,0,0,-1,2	49
-2,-2,-2,0,0,0,-2	127
-2,-2,-2,0,0,0,-1	82
-2,-2,-2,0,0,0,0	82
-2,-2,-2,0,0,0,1	82
-2,-2,-2,0,0,0,2	82
-2,-2,-2,0,0,1,-2	82
-2,-2,-2,0,0,1,-1	82
-2,-2,-2,0,0,1,0	82
-2,-2,-2,0,0,1,1	82
-2,-2,-2,0,0,1,2	82
-2,-2,-2,0,0,2,-2	82
-2,-2,-2,0,0,2,-1	82
-2,-2,-2,0,0,2,0	82
-2,-2,-2,0,0,2,1	82
-2,-2,-2,0,0,2,2	113
-2,-2,-2,0,1,-2,-2	127
-2,-2,-2,0,1,-2,-1	60
-2,-2,-2,0,1,-2,0	60
-2,-2,-2,0,1,-2,1	60
-2,-2,-2,0,1,-2,2	60
-2,-2,-2,0,1,-1,-2	127
-2,-2,-2,0,1,-1,-1	127
-2,-2,-2,0,1,-1,0	60
-2,-2,-2,0,1,-1,1	49
-2,-2,-2,0,1,-1,2	49
-2,-2,-2,0,1,0,-2	127
-2,-2,-2,0,1,0,-1	127
-2,-2,-2,0,1,0,0	82
-2,-2,-2,0,1,0,1	49
-2,-2,-2,0,1,0,2	49
-2,-2,-2,0,1,1,-2	127
-2,-2,-2,0,1,1,-1	82
-2,-2,-2,0,1,1,0	82
-2,-2,-2,0,1,1,1	82
-2,-2,-2,0,1,1,2	76
-2,-2,-2,0,1,2,-2	127
-2,-2,-2,0,1,2,-1	82
-2,-2,-2,0,1,2,0	82
-2,-2,-2,0,1,2,1	82
-2,-2,-2,0,1,2,2	112
-2,-2,-2,0,2,-2,-2	20
-2,-2,-2,0,2,-2,-1	20
-2,-2,-2,0,2,-2,0	60
-2,-2,-2,0,2,-2,1	60
-2,-2,-2,0,2,-2,2	60
-2,-2,-2,0,2,-1,-2	127
-2,-2,-2,0,2,-1,-1	127
-2,-2,-2,0,2,-1,0	60
-2,-2,-2,0,2,-1,1	49
-2,-2,-2,0,2,-1,2	49
-2,-2,-2,0,2,0,-2	127
-2,-2,-2,0,2,0,-1	127
-2,-2,-2,0,2,0,0	127
-2,-2,-2,0,2,0,1	49
-2,-2,-2,0,2,0,2	49
-2,-2,-2,0,2,1,-2	127
-2,-2,-2,0,2,1,-1	82
-2,-2,-2,0,2,1,0	82
-2,-2,-2,0,2,1,1	82
-2,-2,-2,0,2,1,2	3
-2,-2,-2,0,2,2,-2	127
-2,-2,-2,0,2,2,-1	82
-2,-2,-2,0,2,2,0	82
-2,-2,-2,0,2,2,1	3
-2,-2,-2,0,2,2,2	3
-2,-2,-2,1,-2,-2,-2	2
-2,-2,-2,1,-2,-2,-1	2
-2,-2,-2,1,-2,-2,0	2
-2,-2,-2,1,-2,-2,1	2
-2,-2,-2,1,-2,-2,2	2
-2,-2,-2,1,-2,-1,-2	126
-2,-2,-2,1,-2,-1,-1	2
-2,-2,-2,1,-2,-1,0	2
-2,-2,-2,1,-2,-1,1	2
-2,-2,-2,1,-2,-1,2	2
-2,-2,-2,1,-2,0,-2	127
-2,-2,-2,1,-2,0,-1	82
-2,-2,-2,1,-2,0,0	82
-2,-2,-2,1,-2,0,1	2
-2,-2,-2,1,-2,0,2	121
-2,-2,-2,1,-2,1,-2	82
-2,-2,-2,1,-2,1,-1	82
-2,-2,-2,1,-2,1,0	82
-2,-2,-2,1,-2,1,1	82
-2,-2,-2,1,-2,1,2	121
-2,-2,-2,1,-2,2,-2	13
-2,-2,-2,1,-2,2,-1	13
-2,-2,-2,1,-2,2,0	13
-2,-2,-2,1,-2,2,1	116
-2,-2,-2,1,-2,2,2	112
-2,-2,-2,1,-1,-2,-2	60
-2,-2,-2,1,-1,-2,-1	60
-2,-2,-2,1,-1,-2,0	60
-2,-2,-2,1,-1,-2,1	60
-2,-2,-2,1,-1,-2,2	2
-2,-2,-2,1,-1,-1,-2	126
-2,-2,-2,1,-1,-1,-1	82
-2,-2,-2,1,-1,-1,0	60
-2,-2,-2,1,-1,-1,1	60
-2,-2,-2,1,-1,-1,2	121
-2,-2,-2,1,-1,0,-2	127
-2,-2,-2,1,-1,0,-1	82
-2,-2,-2,1,-1,0,0	82
-2,-2,-2,1,-1,0,1	66
-2,-2,-2,1,-1,0,2	121
-2,-2,-2,1,-1,1,-2	82
-2,-2,-2,1,-1,1,-1	82
-2,-2,-2,1,-1,1,0	82
-2,-2,-2,1,-1,1,1	82
-2,-2,-2,1,-1,1,2	76
-2,-2,-2,1,-1,2,-2	82
-2,-2,-2,1,-1,2,-1	82
-2,-2,-2,1,-1,2,0	82
-2,-2,-2,1,-1,2,1	82
-2,-2,-2,1,-1,2,2	112
-2,-2,-2,1,0,-2,-2	60
-2,-2,-2,1,0,-2,-1	60
-2,-2,-2,1,0,-2,0	60
-2,-2,-2,1,0,-2,1	60
-2,-2,-2,1,0,-2,2	60
-2,-2,-2,1,0,-1,-2	127
-2,-2,-2,1,0,-1,-1	82
-2,-2,-2,1,0,-1,0	60
-2,-2,-2,1,0,-1,1	60
-2,-2,-2,1,0,-1,2	60
-2,-2,-2,1,0,0,-2	127
-2,-2,-2,1,0,0,-1	82
-2,-2,-2,1,0,0,0	82
-2,-2,-2,1,0,0,1	82
-2,-2,-2,1,0,0,2	76
-2,-2,-2,1,0,1,-2	82
-2,-2,-2,1,0,1,-1	82
-2,-2,-2,1,0,1,0	82
-2,-2,-2,1,0,1,1	82
-2,-2,-2,1,0,1,2	76
-2,-2,-2,1,0,2,-2	82
-2,-2,-2,1,0,2,-1	82
-2,-2,-2,1,0,2,0	82
-2,-2,-2,1,0,2,1	82
-2,-2,-2,1,0,2,2	112
-2,-2,-2,1,1,-2,-2	60
-2,-2,-2,1,1,-2,-1	60
-2,-2,-2,1,1,-2,0	60
-2,-2,-2,1,1,-2,1	60
-2,-2,-2,1,1,-2,2	60
-2,-2,-2,1,1,-1,-2	127
-2,-2,-2,1,1,-1,-1	60
-2,-2,-2,1,1,-1,0	60
-2,-2,-2,1,1,-1,1	60
-2,-2,-2,1,1,-1,2	60
-2,-2,-2,1,1,0,-2	127
-2,-2,-2,1,1,0,-1	127
-2,-2,-2,1,1,0,0	60
-2,-2,-2,1,1,0,1	60
-2,-2,-2,1,1,0,2	76
-2,-2,-2,1,1,1,-2	127
-2,-2,-2,1,1,1,-1	82
-2,-2,-2,1,1,1,0	82
-2,-2,-2,1,1,1,1	82
-2,-2,-2,1,1,1,2	76
-2,-2,-2,1,1,2,-2	127
-2,-2,-2,1,1,2,-1	82
-2,-2,-2,1,1,2,0	82
-2,-2,-2,1,1,2,1	112
-2,-2,-2,1,1,2,2	112
-2,-2,-2,1,2,-2,-2	60
-2,-2,-2,1,2,-2,-1	60
-2,-2,-2,1,2,-2,0	60
-2,-2,-2,1,2,-2,1	60
-2,-2,-2,1,2,-2,2	60
-2,-2,-2,1,2,-1,-2	127
-2,-2,-2,1,2,-1,-1	60
-2,-2,-2,1,2,-1,0	60
-2,-2,-2,1,2,-1,1	60
-2,-2,-2,1,2,-1,2	60
-2,-2,-2,1,2,0,-2	127
-2,-2,-2,1,2,0,-1	127
-2,-2,-2,1,2,0,0	60
-2,-2,-2,1,2,0,1	60
-2,-2,-2,1,2,0,2	76
-2,-2,-2,1,2,1,-2	127
-2,-2,-2,1,2,1,-1	82
-2,-2,-2,1,2,1,0	82
-2,-2,-2,1,2,1,1	3
-2,-2,-2,1,2,1,2	3
-2,-2,-2,1,2,2,-2	127
-2,-2,-2,1,2,2,-1	82
-2,-2,-2,1,2,2,0	3
-2,-2,-2,1,2,2,1	3
-2,-2,-2,1,2,2,2	3
-2,-2,-2,2,-2,-2,-2	2
-2,-2,-2,2,-2,-2,-1	2
-2,-2,-2,2,-2,-2,0	2
-2,-2,-2,2,-2,-2,1	2
-2,-2,-2,2,-2,-2,2	2
-2,-2,-2,2,-2,-1,-2	25
-2,-2,-2,2,-2,-1,-1	25
-2,-2,-2,2,-2,-1,0	25
-2,-2,-2,2,-2,-1,1	25
-2,-2,-2,2,-2,-1,2	121
-2,-2,-2,2,-2,0,-2	46
-2,-2,-2,2,-2,0,-1	46
-2,-2,-2,2,-2,0,0	25
-2,-2,-2,2,-2,0,1	121
-2,-2,-2,2,-2,0,2	121
-2,-2,-2,2,-2,1,-2	46
-2,-2,-2,2,-2,1,-1	46
-2,-2,-2,2,-2,1,0	46
-2,-2,-2,2,-2,1,1	46
-2,-2,-2,2,-2,1,2	121
-2,-2,-2,2,-2,2,-2	7
-2,-2,-2,2,-2,2,-1	13
-2,-2,-2,2,-2,2,0	13
-2,-2,-2,2,-2,2,1	40
-2,-2,-2,2,-2,2,2	121
-2,-2,-2,2,-1,-2,-2	60
-2,-2,-2,2,-1,-2,-1	60
-2,-2,-2,2,-1,-2,0	60
-2,-2,-2,2,-1,-2,1	60
-2,-2,-2,2,-1,-2,2	121
-2,-2,-2,2,-1,-1,-2	126
-2,-2,-2,2,-1,-1,-1	46
-2,-2,-2,2,-1,-1,0	60
-2,-2,-2,2,-1,-1,1	121
-2,-2,-2,2,-1,-1,2	121
-2,-2,-2,2,-1,0,-2	46
-2,-2,-2,2,-1,0,-1	46
-2,-2,-2,2,-1,0,0	46
-2,-2,-2,2,-1,0,1	121
-2,-2,-2,2,-1,0,2	121
-2,-2,-2,2,-1,1,-2	46
-2,-2,-2,2,-1,1,-1	46
-2,-2,-2,2,-1,1,0	46
-2,-2,-2,2,-1,1,1	46
-2,-2,-2,2,-1,1,2	121
-2,-2,-2,2,-1,2,-2	46
-2,-2,-2,2,-1,2,-1	46
-2,-2,-2,2,-1,2,0	46
-2,-2,-2,2,-1,2,1	40
-2,-2,-2,2,-1,2,2	121
-2,-2,-2,2,0,-2,-2	60
-2,-2,-2,2,0,-2,-1	60
-2,-2,-2,2,0,-2,0	60
-2,-2,-2,2,0,-2,1	60
-2,-2,-2,2,0,-2,2	60
-2,-2,-2,2,0,-1,-2	46
-2,-2,-2,2,0,-1,-1	46
-2,-2,-2,2,0,-1,0	60
-2,-2,-2,2,0,-1,1	60
-2,-2,-2,2,0,-1,2	121
-2,-2,-2,2,0,0,-2	46
-2,-2,-2,2,0,0,-1	46
-2,-2,-2,2,0,0,0	46
-2,-2,-2,2,0,0,1	46
-2,-2,-2,2,0,0,2	121
-2,-2,-2,2,0,1,-2	46
-2,-2,-2,2,0,1,-1	46
-2,-2,-2,2,0,1,0	46
-2,-2,-2,2,0,1,1	46
-2,-2,-2,2,0,1,2	121
-2,-2,-2,2,0,2,-2	46
-2,-2,-2,2,0,2,-1	46
-2,-2,-2,2,0,2,0	46
-2,-2,-2,2,0,2,1	40
-2,-2,-2,2,0,2,2	112
-2,-2,-2,2,1,-2,-2	60
-2,-2,-2,2,1,-2,-1	60
-2,-2,-2,2,1,-2,0	60
-2,-2,-2,2,1,-2,1	60
-2,-2,-2,2,1,-2,2	60
-2,-2,-2,2,1,-1,-2	127
-2,-2,-2,2,1,-1,-1	60
-2,-2,-2,2,1,-1,0	60
-2,-2,-2,2,1,-1,1	60
-2,-2,-2,2,1,-1,2	60
-2,-2,-2,2,1,0,-2	127
-2,-2,-2,2,1,0,-1	46
-2,-2,-2,2,1,0,0	60
-2,-2,-2,2,1,0,1	125
-2,-2,-2,2,1,0,2	121
-2,-2,-2,2,1,1,-2	46
-2,-2,-2,2,1,1,-1	46
-2,-2,-2,2,1,1,0	46
-2,-2,-2,2,1,1,1	46
-2,-2,-2,2,1,1,2	76
-2,-2,-2,2,1,2,-2	46
-2,-2,-2,2,1,2,-1	46
-2,-2,-2,2,1,2,0	46
-2,-2,-2,2,1,2,1	40
-2,-2,-2,2,1,2,2	112
-2,-2,-2,2,2,-2,-2	60
-2,-2,-2,2,2,-2,-1	60
-2,-2,-2,2,2,-2,0	60
-2,-2,-2,2,2,-2,1	60
-2,-2,-2,2,2,-2,2	60
-2,-2,-2,2,2,-1,-2	127
-2,-2,-2,2,2,-1,-1	60
-2,-2,-2,2,2,-1,0	60
-2,-2,-2,2,2,-1,1	60
-2,-2,-2,2,2,-1,2	60
-2,-2,-2,2,2,0,-2	127
-2,-2,-2,2,2,0,-1	46
-2,-2,-2,2,2,0,0	60
-2,-2,-2,2,2,0,1	36
-2,-2,-2,2,2,0,2	36
-2,-2,-2,2,2,1,-2	127
-2,-2,-2,2,2,1,-1	46
-2,-2,-2,2,2,1,0	36
-2,-2,-2,2,2,1,1	36
-2,-2,-2,2,2,1,2	3
-2,-2,-2,2,2,2,-2	46
-2,-2,-2,2,2,2,-1	46
-2,-2,-2,2,2,2,0	36
-2,-2,-2,2,2,2,1	3
-2,-2,-2,2,2,2,2	3
-2,-2,-1,-2,-2,-2,-2	2
-2,-2,-1,-2,-2,-2,-1	2
-2,-2,-1,-2,-2,-2,0	2
-2,-2,-1,-2,-2,-2,1	2
-2,-2,-1,-2,-2,-2,2	2
-2,-2,-1,-2,-2,-1,-2	79
-2,-2,-1,-2,-2,-1,-1	2
-2,-2,-1,-2,-2,-1,0	2
-2,-2,-1,-2,-2,-1,1	2
-2,-2,-1,-2,-2,-1,2	2
-2,-2,-1,-2,-2,0,-2	115
-2,-2,-1,-2,-2,0,-1	41
-2,-2,-1,-2,-2,0,0	19
-2,-2,-1,-2,-2,0,1	2
-2,-2,-1,-2,-2,0,2	2
-2,-2,-1,-2,-2,1,-2	41
-2,-2,-1,-2,-2,1,-1	41
-2,-2,-1,-2,-2,1,0	19
-2,-2,-1,-2,-2,1,1	19
-2,-2,-1,-2,-2,1,2	19
-2,-2,-1,-2,-2,2,-2	41
-2,-2,-1,-2,-2,2,-1	41
-2,-2,-1,-2,-2,2,0	41
-2,-2,-1,-2,-2,2,1	41
-2,-2,-1,-2,-2,2,2	41
-2,-2,-1,-2,-1,-2,-2	79
-2,-2,-1,-2,-1,-2,-1	2
-2,-2,-1,-2,-1,-2,0	2
-2,-2,-1,-2,-1,-2,1	2
-2,-2,-1,-2,-1,-2,2	2
-2,-2,-1,-2,-1,-1,-2	79
-2,-2,-1,-2,-1,-1,-1	79
-2,-2,-1,-2,-1,-1,0	19
-2,-2,-1,-2,-1,-1,1	2
-2,-2,-1,-2,-1,-1,2	2
-2,-2,-1,-2,-1,0,-2	79
-2,-2,-1,-2,-1,0,-1	41
-2,-2,-1,-2,-1,0,0	19
-2,-2,-1,-2,-1,0,1	66
-2,-2,-1,-2,-1,0,2	66
-2,-2,-1,-2,-1,1,-2	41
-2,-2,-1,-2,-1,1,-1	41
-2,-2,-1,-2,-1,1,0	19
-2,-2,-1,-2,-1,1,1	19
-2,-2,-1,-2,-1,1,2	18
-2,-2,-1,-2,-1,2,-2	41
-2,-2,-1,-2,-1,2,-1	41
-2,-2,-1,-2,-1,2,0	41
-2,-2,-1,-2,-1,2,1	41
-2,-2,-1,-2,-1,2,2	41
